PrimaryKey,Age,Disability,MaritalStatus,Race,Gender
160,68,2,1,1,2
161,50,1,5,1,2
162,49,2,1,1,1
163,51,1,1,1,2
164,46,2,3,1,2
165,36,2,1,2,1
166,30,2,1,1,2
167,50,1,1,1,2
168,26,2,5,2,1
169,8,2,5,2,1
170,54,1,4,2,2
171,48,2,1,1,1
172,3,2,5,6,1
173,50,1,1,1,1
174,76,2,1,1,1
175,37,2,1,1,2
176,35,2,1,9,1
177,32,2,1,1,2
178,71,2,5,2,1
179,55,2,1,1,1
180,1,2,5,8,1
181,8,2,5,1,2
182,20,1,5,8,1
183,56,2,1,1,1
184,66,2,1,1,1
185,58,2,1,1,2
186,65,2,1,1,1
187,63,1,1,6,1
188,47,2,4,1,1
189,22,2,5,1,2
190,29,2,5,1,2
191,18,2,5,6,2
192,16,2,5,1,1
193,55,2,1,1,2
194,5,2,5,1,1
195,63,1,1,1,1
196,13,2,5,1,1
197,51,2,1,1,1
198,12,2,5,1,2
199,16,2,5,1,1
200,55,2,3,1,1
201,74,2,2,1,2
202,45,2,5,1,1
203,31,2,5,1,2
204,50,2,1,1,2
205,83,1,1,2,1
206,39,2,1,1,1
207,80,1,2,1,2
208,87,1,2,1,2
209,12,2,5,1,1
210,60,2,1,1,2
211,29,2,5,2,2
212,51,2,1,6,2
213,39,2,1,1,2
214,21,2,1,1,2
215,6,2,5,1,2
216,1,2,5,1,1
217,85,1,1,1,2
218,11,2,5,1,2
219,69,1,1,1,2
220,46,1,1,1,1
221,68,2,1,1,2
222,66,2,3,1,1
223,35,2,1,1,2
224,61,2,1,1,1
225,66,2,1,1,1
226,4,2,5,8,1
227,57,2,1,1,2
228,39,2,1,1,2
229,11,2,5,1,1
230,54,2,1,6,2
231,40,2,1,2,2
232,27,2,1,1,1
233,29,2,1,1,2
234,52,2,1,1,1
235,62,1,1,1,1
236,44,2,1,1,2
237,78,1,1,6,1
238,55,2,1,1,1
239,43,2,1,1,2
240,73,2,2,1,2
241,3,2,5,1,1
242,16,2,5,1,1
243,66,2,1,1,2
244,54,2,3,1,1
245,75,2,1,1,2
246,38,2,1,1,2
247,49,1,3,1,2
248,49,2,1,1,1
249,48,2,3,1,1
250,47,2,1,1,1
251,22,2,5,1,1
252,21,2,5,1,2
253,33,2,5,1,1
254,54,2,1,1,2
255,18,1,5,6,1
256,22,2,5,1,1
257,4,2,5,1,1
258,32,2,1,1,1
259,58,1,5,2,1
260,55,1,1,2,1
261,37,2,1,1,1
262,44,2,1,1,1
263,67,2,1,6,1
264,37,2,1,1,2
265,75,2,1,1,2
266,22,2,5,1,1
267,3,2,5,1,2
268,18,2,5,9,2
269,26,2,1,1,1
270,18,1,5,2,1
271,63,2,3,1,2
272,37,2,1,1,1
273,52,2,1,1,2
274,35,2,1,1,1
275,66,2,1,1,1
276,58,2,1,1,1
277,88,1,1,1,2
278,2,2,5,1,1
279,63,2,2,1,2
280,72,1,2,1,2
281,22,2,5,1,1
282,71,2,1,1,2
283,28,2,5,6,2
284,36,2,5,2,2
285,43,2,1,1,1
286,71,2,1,1,1
287,88,1,2,1,2
288,1,2,5,1,2
289,60,2,1,1,2
290,5,2,5,1,2
291,5,2,5,1,1
292,40,1,5,1,1
293,27,2,1,1,2
294,51,2,5,1,1
295,14,2,5,1,1
296,5,2,5,3,2
297,60,1,2,1,1
298,64,1,2,1,2
299,25,2,5,2,1
300,28,2,5,1,1
301,39,2,1,2,1
302,25,2,5,8,2
303,71,2,1,1,2
304,50,2,3,2,2
305,46,2,1,1,1
306,66,1,1,1,1
307,29,2,5,1,1
308,28,2,1,8,1
309,68,1,5,5,1
310,6,2,5,1,1
311,55,2,3,1,2
312,76,1,1,1,2
313,23,2,5,1,2
314,71,2,3,2,2
315,76,2,2,1,2
316,54,2,1,1,2
317,7,2,5,1,1
318,7,2,5,1,1
319,57,2,3,1,2
320,2,2,5,2,1
321,47,2,3,1,1
322,29,2,5,1,2
323,24,2,5,1,1
324,1,2,5,1,1
325,75,2,1,1,1
326,19,2,5,1,1
327,28,2,5,8,1
328,17,2,5,1,1
329,46,2,4,1,2
330,82,2,2,2,2
331,51,2,1,1,1
332,35,2,1,1,2
333,15,2,5,9,2
334,51,2,1,1,2
335,54,2,1,1,2
336,55,2,1,1,1
337,18,1,5,8,1
338,59,2,1,1,1
339,55,2,4,2,2
340,25,2,1,1,1
341,40,2,1,1,1
342,61,2,1,1,2
343,67,1,3,2,1
344,79,2,1,1,1
345,59,2,1,1,2
346,45,2,1,1,2
347,16,2,5,1,1
348,43,2,1,1,1
349,23,2,5,8,1
350,23,2,5,6,1
351,65,2,1,1,2
352,61,2,1,6,2
353,8,2,5,1,1
354,57,2,1,1,1
355,57,2,3,1,1
356,2,2,5,9,2
357,67,2,1,1,1
358,4,2,5,1,1
359,7,2,5,6,1
360,17,2,5,8,2
361,69,2,1,1,2
362,7,2,5,9,2
363,78,2,1,1,1
364,14,2,5,1,2
365,57,2,2,1,1
366,9,2,5,1,2
367,57,2,1,1,2
368,39,2,3,1,1
369,41,2,1,1,2
370,59,2,1,1,2
371,21,2,1,1,2
372,70,1,1,1,2
373,45,2,1,1,2
374,37,2,1,1,1
375,51,2,1,1,1
376,45,2,1,1,1
377,4,2,5,1,2
378,37,1,1,1,2
379,34,2,1,2,2
380,31,2,5,1,2
381,32,2,1,8,1
382,25,2,1,1,1
383,43,2,1,8,2
384,50,2,1,6,1
385,15,2,5,1,2
386,60,1,1,9,1
387,56,2,1,1,2
388,22,2,5,1,2
389,64,2,1,1,2
390,82,2,2,1,2
391,30,2,1,1,1
392,22,2,5,1,1
393,55,2,1,2,2
394,67,1,1,1,1
395,72,1,1,1,2
396,38,2,3,2,1
397,43,1,3,1,2
398,2,2,5,1,2
399,37,2,1,6,2
400,59,2,1,1,2
401,62,2,1,1,1
402,23,2,5,1,2
403,44,2,1,1,1
404,49,2,1,1,2
405,62,1,3,1,1
406,26,2,1,1,2
407,71,2,1,1,1
408,16,2,5,1,1
409,45,2,1,1,2
410,61,2,1,1,1
411,62,2,2,1,2
412,76,2,1,1,2
413,61,1,1,6,1
414,57,2,5,1,2
415,54,2,3,1,1
416,51,2,1,1,2
417,16,2,5,1,2
418,83,2,3,6,1
419,36,2,5,1,2
420,73,2,1,6,1
421,0,2,5,1,2
422,53,2,1,1,1
423,16,2,5,1,2
424,18,2,5,1,1
425,59,2,1,1,1
426,44,2,1,1,1
427,22,2,5,1,1
428,62,1,1,1,1
429,7,2,5,1,2
430,62,2,2,1,2
431,53,2,1,1,1
432,40,2,5,1,2
433,65,2,1,6,2
434,59,2,1,6,1
435,12,2,5,8,1
436,88,2,1,6,2
437,59,1,1,1,2
438,58,2,1,1,2
439,79,1,2,1,2
440,20,2,5,8,2
441,5,1,5,1,1
442,93,1,2,1,2
443,73,1,2,2,2
444,57,1,1,1,2
445,39,2,1,1,2
446,50,1,1,1,2
447,14,2,5,1,1
448,46,2,1,1,2
449,27,2,5,1,2
450,64,2,1,1,1
451,85,1,3,1,2
452,47,2,1,1,1
453,59,2,1,6,2
454,58,2,3,1,1
455,55,2,1,1,1
456,72,1,1,1,1
457,68,2,1,1,2
458,45,2,4,1,2
459,27,2,1,6,2
460,29,2,1,1,2
461,18,2,5,1,2
462,62,2,2,6,1
463,45,2,1,1,1
464,54,2,1,1,1
465,1,2,5,1,2
466,15,2,5,1,2
467,31,2,5,1,1
468,36,2,1,6,1
469,28,2,1,1,1
470,12,2,5,1,1
471,9,2,5,9,2
472,17,2,5,1,1
473,40,2,5,1,2
474,46,2,5,2,2
475,87,1,2,1,1
476,52,1,5,1,1
477,13,2,5,1,1
478,16,2,5,1,2
479,32,1,5,1,1
480,19,2,5,1,2
481,70,2,5,1,2
482,29,1,5,1,1
483,59,2,1,1,1
484,4,2,5,9,2
485,19,2,5,1,1
486,73,2,1,1,2
487,6,2,5,1,2
488,56,2,1,1,1
489,68,2,1,6,1
490,7,2,5,1,2
491,18,2,5,1,1
492,12,2,5,8,1
493,19,2,5,1,1
494,67,2,1,1,1
495,17,2,5,9,1
496,81,1,2,1,2
497,11,2,5,2,2
498,32,2,1,1,1
499,91,1,1,1,2
500,81,2,2,1,2
501,48,2,1,1,2
502,12,2,5,1,2
503,70,2,1,1,1
504,33,1,2,1,1
505,34,2,1,1,2
506,55,2,1,1,1
507,48,2,1,1,2
508,47,2,4,1,2
509,56,2,3,1,1
510,58,2,1,1,1
511,63,2,3,1,1
512,56,2,1,1,1
513,57,2,1,1,1
514,87,1,1,1,2
515,62,2,1,6,2
516,35,2,5,1,1
517,63,2,3,1,2
518,67,2,2,6,1
519,21,2,5,6,2
520,48,2,1,6,1
521,9,2,5,1,1
522,43,2,1,1,2
523,36,2,1,1,2
524,1,2,5,1,1
525,49,2,1,1,1
526,53,2,1,1,1
527,26,2,5,1,1
528,60,2,1,1,1
529,26,2,5,8,1
530,1,2,5,1,1
531,43,2,1,1,2
532,9,2,5,1,1
533,55,2,2,1,1
534,4,2,5,8,1
535,17,2,5,1,2
536,13,2,5,1,2
537,39,2,1,1,2
538,51,2,1,6,1
539,62,2,1,1,1
540,9,2,5,9,2
541,55,2,2,2,1
542,75,1,1,1,2
543,69,1,2,1,2
544,51,2,1,1,2
545,21,2,5,1,1
546,29,2,5,1,1
547,50,2,1,1,2
548,23,2,5,1,1
549,24,2,5,6,2
550,8,2,5,1,2
551,58,2,1,1,1
552,1,2,5,1,1
553,57,2,3,1,2
554,58,1,3,2,1
555,0,2,5,1,2
556,59,1,3,1,2
557,8,2,5,1,2
558,8,2,5,1,2
559,53,1,1,3,1
560,16,2,5,1,2
561,21,1,5,6,1
562,30,2,1,1,1
563,20,2,5,2,2
564,39,2,4,1,1
565,42,2,5,1,2
566,9,2,5,1,1
567,11,2,5,1,2
568,75,2,5,1,2
569,46,2,1,1,2
570,13,2,5,9,2
571,34,2,5,1,1
572,61,2,3,1,2
573,51,2,1,6,1
574,24,2,5,2,2
575,42,2,1,8,2
576,44,2,1,2,1
577,48,2,2,1,1
578,50,2,1,6,2
579,5,2,5,1,1
580,51,2,1,1,1
581,22,2,5,1,1
582,42,2,3,1,1
583,46,2,1,1,1
584,55,2,1,1,1
585,27,2,1,1,1
586,30,2,5,1,2
587,7,2,5,2,1
588,17,2,5,1,1
589,63,2,1,1,2
590,85,1,2,1,2
591,60,2,2,1,1
592,3,2,5,1,2
593,34,2,1,1,1
594,19,2,5,1,2
595,51,2,1,1,1
596,94,1,2,2,2
597,32,2,1,1,1
598,34,2,1,8,1
599,30,2,5,1,1
600,83,1,1,2,2
601,48,1,1,1,2
602,15,2,5,1,1
603,56,1,1,1,2
604,70,1,2,1,2
605,22,2,5,1,2
606,47,1,2,1,2
607,17,2,5,1,1
608,37,2,1,1,1
609,51,2,4,1,1
610,19,2,5,1,2
611,29,2,5,1,2
612,17,2,5,2,1
613,0,2,5,2,2
614,40,2,1,1,2
615,25,2,1,1,2
616,0,2,5,1,2
617,22,2,5,2,1
618,11,2,5,6,1
619,56,2,1,1,1
620,62,2,1,1,2
621,16,2,5,1,2
622,44,2,1,1,2
623,7,2,5,1,1
624,17,2,5,2,1
625,59,2,1,1,1
626,33,2,3,1,1
627,74,2,2,1,2
628,28,2,5,2,2
629,37,2,1,1,2
630,6,2,5,1,2
631,24,2,1,1,2
632,57,2,1,1,2
633,16,2,5,1,1
634,73,2,1,1,2
635,78,2,1,6,2
636,70,2,1,1,1
637,25,2,5,2,1
638,51,2,3,1,2
639,49,2,1,1,2
640,6,2,5,2,2
641,9,2,5,1,1
642,41,2,5,1,2
643,18,2,5,1,1
644,38,2,1,2,2
645,12,2,5,8,2
646,51,2,1,1,1
647,47,2,1,1,1
648,4,2,5,1,1
649,42,2,1,1,1
650,10,2,5,9,2
651,14,2,5,1,2
652,46,2,1,1,1
653,15,2,5,1,1
654,54,2,1,1,2
655,6,2,5,1,2
656,65,2,1,1,1
657,42,2,1,1,1
658,51,2,1,1,2
659,36,2,5,1,1
660,25,2,5,2,2
661,24,2,5,1,1
662,31,2,1,1,2
663,57,2,3,1,1
664,73,2,1,1,1
665,29,2,5,8,2
666,59,2,4,1,1
667,50,1,5,1,1
668,49,2,1,2,1
669,70,2,3,2,2
670,31,2,1,1,2
671,76,1,3,1,2
672,14,2,5,1,2
673,6,2,5,1,1
674,44,1,3,1,1
675,65,2,1,1,1
676,49,2,3,8,2
677,16,2,5,1,1
678,5,2,5,1,2
679,9,2,5,2,1
680,58,2,1,1,1
681,73,2,2,1,2
682,51,2,1,2,1
683,14,2,5,1,2
684,22,2,5,1,1
685,42,2,1,1,1
686,74,2,1,1,1
687,56,2,1,6,1
688,19,2,5,1,2
689,87,1,2,1,2
690,62,2,1,1,1
691,24,2,5,1,1
692,61,2,1,1,2
693,69,2,1,1,1
694,15,2,5,1,2
695,23,2,5,1,1
696,45,2,1,1,2
697,44,2,5,1,2
698,10,2,5,2,2
699,20,2,5,1,2
700,67,1,1,1,1
701,14,2,5,8,1
702,8,2,5,2,1
703,3,2,5,1,2
704,10,2,5,1,2
705,69,1,2,6,2
706,54,2,1,6,1
707,54,2,3,1,2
708,17,2,5,1,2
709,55,2,1,1,2
710,44,2,1,8,2
711,14,2,5,1,2
712,39,2,3,1,1
713,86,1,1,1,2
714,92,2,2,1,2
715,37,2,1,1,2
716,33,2,3,1,2
717,69,2,1,1,2
718,24,2,5,1,2
719,41,2,5,1,2
720,55,1,1,1,1
721,45,2,1,1,1
722,45,2,1,1,1
723,34,2,1,2,1
724,2,2,5,1,1
725,15,2,5,2,2
726,85,2,2,2,2
727,61,2,1,1,1
728,58,2,5,2,2
729,92,1,2,1,2
730,7,2,5,1,2
731,59,2,3,1,2
732,23,2,5,8,1
733,27,2,1,1,1
734,83,1,3,1,1
735,4,2,5,1,2
736,9,2,5,1,2
737,1,2,5,1,1
738,45,2,1,1,1
739,70,2,1,1,1
740,61,1,3,1,2
741,46,2,3,1,2
742,18,2,5,2,1
743,32,2,5,1,1
744,72,2,1,1,1
745,64,2,1,1,2
746,68,2,1,1,2
747,55,2,1,1,1
748,69,2,1,1,2
749,69,2,1,1,1
750,17,2,5,1,1
751,31,2,5,1,2
752,84,1,5,2,1
753,47,2,1,6,2
754,60,2,3,1,1
755,15,2,5,1,2
756,45,2,1,1,2
757,26,2,5,1,2
758,33,2,5,1,1
759,14,2,5,2,2
760,45,2,1,1,1
761,50,2,1,1,2
762,3,2,5,1,2
763,0,2,5,1,1
764,42,2,5,1,2
765,48,2,4,1,2
766,76,2,1,1,1
767,35,2,5,1,1
768,9,2,5,1,2
769,41,2,1,1,1
770,60,2,1,1,2
771,82,2,1,1,2
772,85,2,2,1,2
773,23,2,5,2,1
774,62,2,5,1,2
775,36,2,5,1,1
776,25,2,1,1,1
777,46,2,1,1,1
778,53,2,1,1,1
779,45,2,1,2,2
780,11,2,5,1,2
781,52,2,3,1,1
782,59,1,5,1,1
783,18,2,5,1,2
784,8,2,5,1,2
785,56,2,1,1,2
786,17,2,5,1,2
787,24,2,5,2,2
788,23,2,5,1,2
789,37,2,5,1,2
790,68,1,1,1,1
791,69,2,1,1,2
792,21,2,5,2,2
793,72,2,1,1,2
794,52,2,1,1,2
795,43,2,5,1,2
796,0,2,5,1,2
797,12,2,5,1,1
798,4,2,5,1,1
799,41,2,1,3,2
800,8,2,5,1,1
801,43,2,5,2,2
802,41,1,3,1,2
803,29,2,1,1,1
804,60,1,3,1,1
805,8,2,5,1,1
806,30,2,3,1,2
807,35,2,3,1,1
808,47,2,3,1,2
809,26,2,4,1,2
810,41,2,1,1,2
811,1,2,5,8,1
812,37,2,4,2,2
813,6,2,5,1,1
814,0,2,5,1,1
815,82,2,2,1,2
816,79,2,1,1,2
817,57,2,5,1,2
818,87,2,2,1,2
819,66,2,1,2,1
820,40,2,5,6,2
821,19,2,5,1,1
822,81,1,1,1,2
823,87,1,3,1,1
824,58,2,3,1,2
825,66,2,1,1,1
826,72,1,1,1,2
827,64,2,1,1,1
828,48,2,1,9,2
829,17,2,5,1,1
830,30,2,5,1,1
831,26,2,4,1,1
832,40,2,1,1,2
833,73,2,2,1,1
834,52,2,3,2,2
835,54,2,5,6,2
836,7,2,5,1,2
837,23,1,5,1,2
838,18,2,5,1,2
839,52,1,1,3,1
840,28,2,1,8,1
841,32,2,1,1,1
842,5,1,5,9,1
843,37,2,1,5,1
844,36,2,5,2,2
845,29,2,5,1,1
846,73,1,1,1,2
847,44,2,1,1,1
848,28,2,5,2,1
849,8,2,5,1,1
850,73,2,2,1,2
851,0,2,5,1,1
852,14,2,5,1,2
853,6,2,5,1,1
854,14,2,5,1,2
855,0,2,5,8,1
856,29,2,1,1,2
857,0,2,5,1,2
858,1,2,5,1,2
859,61,1,3,1,1
860,24,2,5,1,1
861,64,2,1,1,2
862,65,2,1,1,2
863,20,2,5,1,1
864,20,2,5,1,2
865,43,2,1,8,1
866,76,1,1,1,2
867,9,2,5,1,1
868,53,2,3,1,2
869,38,1,5,1,2
870,60,2,3,1,2
871,15,2,5,1,2
872,33,2,1,1,1
873,60,2,3,2,2
874,13,2,5,1,1
875,59,2,1,6,2
876,11,2,5,1,1
877,23,2,5,1,1
878,62,2,3,1,1
879,15,2,5,1,1
880,42,2,1,1,2
881,22,2,5,2,2
882,22,2,5,9,2
883,17,2,5,6,2
884,49,2,1,1,1
885,37,2,1,1,1
886,0,2,5,1,2
887,7,2,5,1,1
888,17,2,5,1,1
889,26,2,5,1,1
890,43,2,1,8,1
891,81,2,1,1,2
892,55,2,5,1,1
893,54,2,5,1,1
894,82,1,1,1,2
895,35,2,5,2,2
896,71,2,1,1,1
897,39,2,1,1,2
898,67,2,1,2,1
899,0,2,5,1,2
900,8,2,5,2,2
901,55,2,3,1,1
902,69,1,1,1,1
903,80,2,5,1,1
904,5,2,5,1,1
905,34,2,1,1,2
906,62,2,3,1,2
907,66,2,1,1,1
908,10,1,5,1,1
909,51,2,1,1,1
910,8,2,5,1,1
911,60,2,1,1,2
912,44,2,1,1,2
913,25,2,1,1,2
914,32,2,1,6,1
915,81,1,1,1,1
916,39,2,1,1,1
917,47,2,1,1,1
918,44,2,4,2,2
919,18,2,5,2,1
920,20,2,5,2,1
921,50,2,1,8,1
922,12,2,5,9,2
923,29,1,1,1,1
924,44,2,1,1,1
925,6,2,5,1,1
926,26,2,5,1,1
927,37,1,1,1,2
928,62,2,3,2,2
929,40,2,1,1,2
930,64,2,1,9,2
931,50,2,2,1,2
932,28,2,5,2,2
933,1,2,5,1,2
934,38,2,1,6,1
935,45,2,1,4,1
936,68,1,3,1,1
937,45,2,4,1,1
938,60,1,2,2,2
939,55,2,1,1,2
940,4,2,5,8,2
941,5,2,5,8,2
942,16,2,5,1,2
943,53,2,1,1,1
944,67,2,1,1,2
945,16,2,5,1,2
946,49,2,1,1,2
947,69,1,1,1,1
948,31,2,5,1,1
949,34,2,1,1,2
950,64,2,3,1,2
951,77,2,2,6,1
952,9,2,5,1,1
953,54,2,1,1,1
954,62,1,3,1,2
955,63,2,1,1,2
956,38,2,3,1,1
957,42,1,5,8,2
958,74,2,2,1,2
959,71,2,1,1,2
960,54,2,1,2,1
961,19,2,5,1,2
962,43,2,1,6,2
963,1,2,5,1,1
964,16,2,5,1,2
965,72,1,3,8,2
966,11,2,5,1,2
967,58,1,1,1,1
968,36,2,1,1,2
969,48,1,1,1,2
970,1,2,5,6,1
971,7,2,5,1,2
972,31,2,5,9,2
973,14,2,5,1,1
974,14,2,5,1,1
975,61,2,1,1,1
976,10,2,5,1,1
977,74,2,5,1,2
978,50,2,1,1,1
979,60,2,4,1,2
980,49,2,3,1,2
981,26,2,5,1,1
982,38,2,5,1,2
983,4,1,5,9,1
984,4,2,5,1,1
985,94,1,1,1,1
986,67,2,2,1,1
987,26,2,4,2,1
988,49,2,1,1,2
989,56,2,1,1,1
990,79,2,3,1,1
991,62,2,1,1,1
992,76,2,1,1,2
993,7,2,5,1,1
994,64,2,3,1,2
995,68,2,1,1,2
996,82,2,1,1,1
997,62,2,1,1,1
998,1,2,5,1,1
999,48,2,1,1,2
1000,56,2,3,2,1
1001,46,2,1,6,1
1002,72,1,2,2,2
1003,58,2,1,1,1
1004,89,2,2,1,2
1005,11,2,5,2,2
1006,4,2,5,2,2
1007,61,2,3,1,2
1008,20,1,5,1,1
1009,43,2,1,1,1
1010,61,2,4,2,1
1011,67,1,1,1,2
1012,66,2,2,1,2
1013,10,2,5,1,1
1014,83,1,2,2,2
1015,37,1,1,1,2
1016,8,2,5,1,1
1017,14,2,5,1,1
1018,55,1,2,2,2
1019,27,2,5,1,1
1020,10,2,5,1,1
1021,21,2,5,6,1
1022,10,2,5,2,2
1023,59,2,5,1,2
1024,42,2,4,2,2
1025,42,2,1,1,2
1026,56,2,1,1,1
1027,76,1,2,1,1
1028,15,2,5,1,1
1029,54,1,5,9,2
1030,52,1,1,1,2
1031,49,2,1,1,1
1032,47,2,1,1,2
1033,72,1,1,1,1
1034,51,2,3,1,1
1035,49,2,1,1,2
1036,59,2,1,1,1
1037,27,2,1,1,1
1038,31,2,1,1,1
1039,57,1,1,1,2
1040,29,1,5,1,2
1041,19,2,5,1,2
1042,13,2,5,1,1
1043,48,2,1,8,1
1044,43,2,1,1,2
1045,11,2,5,6,1
1046,23,2,5,1,1
1047,56,1,1,1,2
1048,12,2,5,1,2
1049,38,2,1,1,2
1050,74,2,2,1,2
1051,45,1,5,2,1
1052,36,2,1,1,1
1053,44,2,1,2,2
1054,61,2,3,1,2
1055,16,2,5,1,1
1056,68,2,1,1,2
1057,18,2,5,1,2
1058,56,2,1,1,1
1059,41,2,1,2,1
1060,52,2,1,1,2
1061,49,2,1,1,2
1062,1,2,5,1,1
1063,56,2,1,1,2
1064,22,2,5,1,1
1065,46,2,3,1,2
1066,30,2,5,1,1
1067,47,2,1,1,2
1068,0,2,5,1,1
1069,45,2,3,1,1
1070,47,2,2,1,2
1071,58,2,1,1,1
1072,29,2,5,1,1
1073,9,2,5,1,1
1074,35,2,1,1,1
1075,11,2,5,1,1
1076,28,2,5,8,1
1077,17,2,5,1,2
1078,22,2,5,2,1
1079,35,2,1,1,1
1080,62,2,1,1,1
1081,18,2,5,2,2
1082,0,2,5,9,1
1083,49,2,4,9,1
1084,76,2,1,1,2
1085,79,1,1,1,2
1086,56,2,1,1,1
1087,24,1,1,1,2
1088,53,2,1,1,2
1089,30,2,1,6,1
1090,3,2,5,1,1
1091,53,1,3,1,2
1092,52,2,3,1,1
1093,62,1,1,1,1
1094,64,2,1,1,1
1095,13,2,5,1,1
1096,27,2,1,1,2
1097,18,2,5,1,2
1098,53,2,1,1,1
1099,13,2,5,1,2
1100,48,1,1,1,2
1101,60,1,1,1,2
1102,60,2,5,1,1
1103,25,2,1,1,2
1104,22,2,5,1,1
1105,73,1,2,1,2
1106,63,2,1,1,1
1107,85,1,2,2,1
1108,65,1,1,1,1
1109,19,2,5,6,2
1110,48,2,5,2,2
1111,44,2,1,1,1
1112,12,1,5,2,2
1113,12,2,5,1,1
1114,35,2,3,1,2
1115,82,1,2,1,2
1116,9,2,5,1,1
1117,52,2,5,1,1
1118,11,2,5,2,1
1119,63,2,1,8,1
1120,14,2,5,1,2
1121,42,2,1,1,1
1122,49,2,3,1,2
1123,27,2,5,1,2
1124,19,2,5,1,2
1125,65,2,1,1,1
1126,46,2,1,1,1
1127,66,2,1,1,1
1128,17,2,5,8,1
1129,10,2,5,1,2
1130,43,2,1,1,1
1131,25,2,5,2,1
1132,37,2,1,2,1
1133,3,2,5,1,1
1134,2,2,5,1,2
1135,19,2,5,1,1
1136,39,2,1,1,1
1137,27,2,5,1,1
1138,34,2,5,1,1
1139,79,1,1,1,1
1140,67,1,3,2,2
1141,6,2,5,1,1
1142,22,2,5,1,1
1143,65,2,1,1,2
1144,42,2,1,1,2
1145,52,2,1,1,1
1146,7,1,5,1,1
1147,6,2,5,3,1
1148,41,2,5,1,1
1149,54,2,2,1,2
